id,date,value,factor,pct_change,method,return
1151,1966-11-01,643.94,1.0041929372301766,0.4192937230176552,No Compounding,27994.844240146595
1151,1966-11-01,643.94,1.0041929372301766,0.4192937230176552,Compounding,61813.72645896351
1151,1966-11-01,643.94,1.0041929372301766,0.4192937230176552,Buy the Dip,66053.0412867564
1152,1966-12-01,646.64,1.0383675615489298,3.836756154892984,No Compounding,28393.387356179635
1152,1966-12-01,646.64,1.0383675615489298,3.836756154892984,Compounding,62693.72546682512
1152,1966-12-01,646.64,1.0383675615489298,3.836756154892984,Buy the Dip,67274.29155917422
1153,1967-01-01,671.45,1.034447836771167,3.4447836771166918,No Compounding,27409.933725519397
1153,1967-01-01,671.45,1.034447836771167,3.4447836771166918,Compounding,60522.22084300128
1153,1967-01-01,671.45,1.034447836771167,3.4447836771166918,Buy the Dip,67435.87912897207
1154,1967-02-01,694.58,1.0204872008983845,2.0487200898384517,No Compounding,26738.172708687263
1154,1967-02-01,694.58,1.0204872008983845,2.0487200898384517,Compounding,59038.94587336569
1154,1967-02-01,694.58,1.0204872008983845,2.0487200898384517,Buy the Dip,68049.25235310271
1155,1967-03-01,708.81,1.0141504775609826,1.4150477560982644,No Compounding,25284.631988826346
1155,1967-03-01,708.81,1.0141504775609826,1.4150477560982644,Compounding,55829.47031123349
1155,1967-03-01,708.81,1.0141504775609826,1.4150477560982644,Buy the Dip,65668.30897771388
1156,1967-04-01,718.84,1.0148433587446442,1.4843358744644153,No Compounding,25769.016749207054
1156,1967-04-01,718.84,1.0148433587446442,1.4843358744644153,Compounding,56899.01107460467
1156,1967-04-01,718.84,1.0148433587446442,1.4843358744644153,Buy the Dip,67873.37472611184
1157,1967-05-01,729.51,0.9845101506490659,-1.5489849350934115,No Compounding,26056.94233115379
1157,1967-05-01,729.51,0.9845101506490659,-1.5489849350934115,Compounding,57534.76217971245
1157,1967-05-01,729.51,0.9845101506490659,-1.5489849350934115,Buy the Dip,69650.47158216535
1158,1967-06-01,718.21,1.0142437448657078,1.4243744865707786,No Compounding,26469.138552790966
1158,1967-06-01,718.21,1.0142437448657078,1.4243744865707786,Compounding,58444.90778627952
1158,1967-06-01,718.21,1.0142437448657078,1.4243744865707786,Buy the Dip,69656.33416973172
1159,1967-07-01,728.44,1.012876832683543,1.2876832683542894,No Compounding,26216.435121629784
1159,1967-07-01,728.44,1.012876832683543,1.2876832683542894,Compounding,57886.92858714406
1159,1967-07-01,728.44,1.012876832683543,1.2876832683542894,Buy the Dip,69974.01313348398
1160,1967-08-01,737.82,1.01095118050473,1.0951180504729985,No Compounding,24803.746171152856
1160,1967-08-01,737.82,1.01095118050473,1.0951180504729985,Compounding,54767.655352140566
1160,1967-08-01,737.82,1.01095118050473,1.0951180504729985,Buy the Dip,67055.91017232722
1161,1967-09-01,745.9,0.9954685614693659,-0.4531438530634091,No Compounding,25182.46413728382
